2011_Top5,2011_Amount,2012_Top5,2012_Amount,2013_Top5,2013_Amount,2014_Top5,2014_Amount,2015_Top5,2015_Amount,2016_Top5,2016_Amount,2017_Top5,2017_Amount,2018_Top5,2018_Amount,2019_Top5,2019_Amount,2020_Top5,2020_Amount,2021_Top5,2021_Amount,2022_Top5,2022_Amount
Seattle Foundation,750,Eastern Bank Foundation,4251,"The Liberty Mutual Foundation, Inc.",10247,The Boston Foundation,35200,Fidelity Investments Charitable Gift Fund,331966,Fidelity Investments Charitable Gift Fund,414278,The Boston Foundation,24647,The Boston Foundation,15350,Verizon Foundation,88337,Harvard Pilgrim Health Care Foundation,28350,"The Berkshire Taconic Community Foundation, Inc.",14408,"Coastal Community Foundation of South Carolina, Inc.",500
Tides Foundation,400,The Plymouth Rock Assurance Foundation,2940,"Bank of America Charitable Foundation, Inc.",4950,"Bank of America Charitable Foundation, Inc.",12823,The Boston Foundation,31037,The Boston Foundation,23675,"The Liberty Mutual Foundation, Inc.",15569,"The Liberty Mutual Foundation, Inc.",7681,The Boston Foundation,25560,"Greater Lowell Community Foundation, Inc.",6095,New Hampshire Charitable Foundation,1500,East Bay Community Foundation,500
Horizons Foundation,250,"Salem Five Charitable Foundation, Inc.",2625,Ben & Kate Taylor Charitable Foundation,3450,"The Liberty Mutual Foundation, Inc.",11310,"The Liberty Mutual Foundation, Inc.",13542,"The Liberty Mutual Foundation, Inc.",15437,"Bank of America Charitable Foundation, Inc.",10000,Community Foundation of Western Massachusetts,6000,Community Foundation of Western Massachusetts,15730,"Greater Worcester Community Foundation, Inc.",5420,"Greater Lowell Community Foundation, Inc.",1424,The Community Foundation of Western North Carolina,500
"1772 Foundation, Inc.",0,"Greater Worcester Community Foundation, Inc.",1794,The Alchemy Foundation,2520,GE Foundation,5860,"Bank of America Charitable Foundation, Inc.",12376,AmazonSmile Foundation,14007,Community Foundation of Western Massachusetts,6551,"Bank of America Charitable Foundation, Inc.",4794,"The Berkshire Taconic Community Foundation, Inc.",6475,"The Berkshire Taconic Community Foundation, Inc.",4500,Saint Paul & Minnesota Foundation,1275,Seattle Foundation,335
3M Foundation,0,Middlecott Foundation,1750,Rodman Ford Sales Inc. Charitable Trust,1600,AmazonSmile Foundation,4545,AmazonSmile Foundation,8618,"Bank of America Charitable Foundation, Inc.",13713,Verizon Foundation,4624,American Express Foundation,3586,Coghlin Services Fund,6100,"Access Strategies Fund, Inc.",1526,New York Community Trust,1000,Silicon Valley Community Foundation,200
