2011_Top5,2011_Total_Amount,2012_Top5,2012_Total_Amount,2013_Top5,2013_Total_Amount,2014_Top5,2014_Total_Amount,2015_Top5,2015_Total_Amount,2016_Top5,2016_Total_Amount,2017_Top5,2017_Total_Amount,2018_Top5,2018_Total_Amount,2019_Top5,2019_Total_Amount,2020_Top5,2020_Total_Amount,2021_Top5,2021_Total_Amount,2022_Top5,2022_Total_Amount
"United for a Fair Economy, Inc.",900.0,"United for a Fair Economy, Inc.",2600.0,"Epiphany School, Inc.",3750.0,The Food Project,8186.0,Boston Chinese Evangelical Church,31620.0,Boston Chinese Evangelical Church,29672.0,The Trustees of Reservations,5948.0,The Trustees of Reservations,5280.0,"Epiphany School, Inc.",4311.0,"Community Servings, Inc.",3260.0,"Berkshire Immigrant Center, Inc.",3750.0,Country Dance & Song Society Inc,500.0
"Epiphany School, Inc.",250.0,"Tenacity, Inc.",2400.0,"United for a Fair Economy, Inc.",3400.0,"Community Servings, Inc.",8068.0,"Epiphany School, Inc.",20315.0,The Food Project,20893.0,"Artists for Humanity, Inc.",4185.0,Year Up,4986.0,"Community Servings, Inc.",4260.0,Family Health Center Of Worcester Inc,3040.0,Clinton Church Restoration Inc,2350.0,"Epiphany School, Inc.",500.0
Unitarian Universalist Association,250.0,"Martha's Vineyard Hospital, Inc.",2100.0,The Food Project,1957.0,Jumpstart for Young Children,6790.0,The Food Project,19342.0,"Epiphany School, Inc.",18486.0,Martha's Vineyard Museum Inc,3820.0,Martha's Vineyard Museum Inc,4500.0,The Food Project,4260.0,"Lawyers' Committee for Civil Rights Under Law of the Boston Bar Association, Inc.",2500.0,Volunteers in Medicine Berkshires,2000.0,Newton Girls Soccer Inc,335.0
3rd Eye Youth Empowerment,0.0,The Trustees of Reservations,1855.0,Ron Burton Training Village Camp,1900.0,"Epiphany School, Inc.",5727.0,"Community Servings, Inc.",16881.0,"Community Servings, Inc.",17991.0,The Food Project,3638.0,"Community Servings, Inc.",3750.0,"Tenacity, Inc.",3850.0,The Food Project,2450.0,The Trustees of Reservations,1850.0,Reportage International,250.0
A Better Chance Masconomet,0.0,"Epiphany School, Inc.",1250.0,"Brookline Community Foundation, Inc.",1860.0,The Trustees of Reservations,5333.0,"Tenacity, Inc.",15447.0,Year Up,17780.0,Year Up,3610.0,Unitarian Universalist Association,3545.0,The Trustees of Reservations,3705.0,Enterprise Bank Qualified Disaster Relief Fund,2250.0,The Women's Fund of Western Massachusetts,1200.0,"United for a Fair Economy, Inc.",250.0
