2011_Top5,2011_Number_of_Grants,2012_Top5,2012_Number_of_Grants,2013_Top5,2013_Number_of_Grants,2014_Top5,2014_Number_of_Grants,2015_Top5,2015_Number_of_Grants,2016_Top5,2016_Number_of_Grants,2017_Top5,2017_Number_of_Grants,2018_Top5,2018_Number_of_Grants,2019_Top5,2019_Number_of_Grants,2020_Top5,2020_Number_of_Grants,2021_Top5,2021_Number_of_Grants,2022_Top5,2022_Number_of_Grants
Year Up,55,Year Up,65,"Community Servings, Inc.",280,Year Up,115,Year Up,241,Year Up,287,Year Up,177,Year Up,184,Year Up,130,Year Up,72,The Trustees of Reservations,21,The Boston Foundation,4
Building Educated Leaders for Life Foundation,33,The Food Project,45,Year Up,81,The Food Project,94,The Food Project,186,"Epiphany School, Inc.",169,The Trustees of Reservations,106,The Trustees of Reservations,107,"Community Servings, Inc.",77,"Community Servings, Inc.",43,"Berkshire Immigrant Center, Inc.",20,Boston Chinatown Neighborhood Center,3
The Food Project,33,Steppingstone Foundation,40,Jumpstart for Young Children,57,"Community Servings, Inc.",80,Bottom Line,163,The Food Project,168,"Epiphany School, Inc.",92,"Community Servings, Inc.",80,"Epiphany School, Inc.",68,UTEC,40,Volunteers in Medicine Berkshires,13,"Hyde Square Task Force, Inc.",3
Steppingstone Foundation,32,"Tenacity, Inc.",37,Bottom Line,54,Bottom Line,79,"Epiphany School, Inc.",163,"Community Servings, Inc.",160,"Community Servings, Inc.",85,"Epiphany School, Inc.",77,"GreenLight Fund, Inc.",66,"Epiphany School, Inc.",36,Year Up,10,"Lawyers' Committee for Civil Rights Under Law of the Boston Bar Association, Inc.",3
Jumpstart for Young Children,27,"Artists for Humanity, Inc.",33,"Epiphany School, Inc.",47,"Epiphany School, Inc.",75,"Community Servings, Inc.",159,"Tenacity, Inc.",142,The Food Project,75,Bottom Line,76,The Trustees of Reservations,63,Family Health Center Of Worcester Inc,35,Bottom Line,9,"Arise, Inc.",2
