Recipient Name,Recipient EIN,Recipient Website,Recipient Address
Year Up,43534407,http://www.yearup.org/,"45 Milk Street 9th Floor
Boston, MA, United States 02110"
Building Excellent Schools Inc,352194153,http://buildingexcellentschools.org,"31 MILK ST FL 6
Boston, MA, United States 02109"
Building Educated Leaders for Life Foundation,43182053,http://www.experiencebell.org,"60 Clayton St.
Dorchester, MA, United States 02122-2722"
President and Fellows of Harvard College,42103580,http://www.harvard.edu,"1033 Massachusetts Ave 3rd Fl
Cambridge, MA, United States 02138"
"The Match School Foundation, Inc.",43476160,http://www.matcheducation.org,"215 Forest Hill Street
Jamaica Plain, MA, United States 02130-3302"
Teach Plus,263849472,https://teachplus.org/,"1 Beacon Street
Boston, MA, United States 2108"
Jumpstart for Young Children,43262046,http://www.jstart.org/site/rss,"308 Congress St., Sixth Floor
Boston, MA, United States 02210-1027"
Camp Harbor View Foundation Inc.,753235491,http://www.campharborviewfoundation.org,"46 Plympton Street, Floor 2
Boston, MA, United States 2118"
Jewish Vocational Service,42104357,http://www.jvs-boston.org,"29 Winter St
Boston, MA, United States 02108"
"Community Servings, Inc.",223154028,http://www.servings.org,"179 Amory St.
Jamaica Plain, MA, United States 2130"
Bellwether Education Partners,261914515,https://bellwethereducation.org/,"517 Boston Post Rd., Unit 171
Sudbury, MA, United States 01776-7607"
"GreenLight Fund, Inc.",200407083,http://www.greenlightfund.org,"200 Clarendon Street 44Th Floor
Boston, MA, United States 02116-5021"
Bottom Line,N/A,https://www.bottomlineg/news-and-...,"500 Amory St., Ste. 3
Jamaica Plain, MA, United States 02130-2775"
"Artists for Humanity, Inc.",43138434,http://www.afhboston.org,"100 West Second Street
Boston, MA, United States 02127"
Steppingstone Foundation,43086666,https://www.tsf.org/,"One Appleton St., 4th Fl.
Boston, MA, United States 02116-5223"
UTEC,383669532,https://utecinc.org/,"35 Warren St.
Lowell, MA, United States 01852-2225"
Fenway Sidney Borum Community Health Center,42510564,N/A,"55 Dimock Street
Dorchester, MA, United States 02119"
"Tenacity, Inc.",43452763,http://www.tenacity.org,"38 Everett Street Lower Level
Boston, MA, United States 02134"
Empower Schools,43534001,N/A,"50 Milk St., 16th Fl.
Boston, MA, United States 02109-5002"
"Morgan Memorial Goodwill Industries, Inc.",42106765,http://www.goodwillmass.org,"1010 Harrison Avenue
Boston, MA, United States 2119"
Bottom Line,43351427,https://www.bottomlineg/news-and-...,"50 Milk Street
Boston, MA, United States 2109"
College Bound Dorchester,42383512,http://www.collegebounddorchester.org,"18 Samoset St
Dorchester, MA, United States 02124-2415"
"Epiphany School, Inc.",43391788,http://www.epiphanyschool.com,"154 Centre Street
Dorchester, MA, United States 2124"
Boston University Center for Antiracist Research,N/A,https://www.bu.edu/antiracism-center/,"Boston, MA, United States"
Brooke Schools Foundation,300015324,http://www.ebrooke.org,"190 Cummins Hwy
Roslindale, MA, United States 02131"
Summer Search Boston,N/A,http://www.summersearchg/about/of...,"555 AMORY STREET
Jamaica Plain, MA, United States 02130"
Unitarian Universalist Association,N/A,http://www.uua.org/,"24 Farnsworth St
Boston, MA, United States 02210-1409"
The Food Project,43262532,http://www.thefoodproject.org,"10 Lewis Street
Lincoln, MA, United States 1773"
"Hyde Square Task Force, Inc.",43118543,http://www.hydesquare.org,"30 Sunnyside Street
Jamaica Plain, MA, United States 2130"
Dimock Community Health Center,43487835,http://www.dimock.org,"55 Dimock St
Roxbury, MA, United States 02119"
Community Labor United,203404034,http://www.massclu.org,"8 Beacon Street 5th Floor
Boston, MA, United States 02108"
"Theater Offensive, Inc.",43039900,https://thetheateroffensive.org/,"565 Boylston Street
Boston, MA, United States 02116"
Uncommon Schools,311488698,http://www.uncommonschools.org/,"826 Broadway, 9th Fl.
New York City, NY, United States 10003-4826"
"Martha's Vineyard Hospital, Inc.",42104691,N/A,"1 Hospital Rd
Oak Bluffs, MA, United States 2557"
Dudley Street Neighborhood Initiative,42859066,http://www.dsni.org/,"550 Dudley Street 3rd Floor
Roxbury, MA, United States 02119"
Salem State University,42325342,http://www.salemstate.edu/,"352 Lafayette St
Salem, MA, United States 01970"
Mass Mentoring Partnership,223207958,http://massmentoring.wordpress.com,"75 Kneeland Street, 11th Floor
Boston, MA, United States 2111"
SquashBusters Inc.,43330698,http://www.squashbusters.org,"795 Columbus Avenue
Boston, MA, United States 2120"
Boston Plan for Excellence (BPE),222667403,http://www.bpe.org/,"27-43 Wormwood Street, Suite 110
Boston, MA, United States 2210"
Family Health Center Of Worcester Inc,42485308,http://www.fhcw.org,"26 Queen Street
Worcester, MA, United States 01610-2473"
Center for Collaborative Education,43241676,http://www.ccebos.org/,"1135 Tremont St., Ste. 490
Boston, MA, United States 02120-2140"
Boston Chinatown Neighborhood Center,237209691,http://www.bcnc.net,"885 Washington St.
Boston, MA, United States 02111-1415"
Adopt-A-Student,46665080,N/A,"88 Black Falcon Ave Suite 167 V1b
Boston, MA, United States 02210"
Brockton Neighborhood Health Center,43165044,http://www.bnhc.org,"63 MAIN STREET
Brockton, MA, United States 02301"
"The Neighborhood Developers, Inc.",42660283,http://www.theneighborhooddevelopers.org,"4 Gerrish Avenue
Chelsea, MA, United States 02150"
Initiative for A Competitive Inner City Inc,133772904,http://www.icic.org,"56 Warren St 3rd Floor
Roxbury, MA, United States 2119"
Sociedad Latina,42678255,http://www.sociedadlatina.org,"1530 Tremont St.
Roxbury, MA, United States 02120"
Beacon Academy Inc,731710051,http://www.beaconacademy.org,"477 Longwood Avenue
Boston, MA, United States 2215"
Health Leads,450484533,http://healthleadsusa.org/,"24 School Street, 6th Floor
Boston, MA, United States 2108"
Massachusetts Budget and Policy Center,42967537,http://www.massbudget.org,"One State Street, Suite 1250
Boston, MA, United States 2109"
Community Foundation of Western Massachusetts,223089640,http://www.communityfoundation.org,"PO Box 15769
Springfield, MA, United States 01115-5769"
Grub Street Inc.,800005516,http://www.grubstreet.org,"50 Liberty Drive
Boston, MA, United States 2210"
Boston Debate League,593789722,https://www.bostondebate.org/,"1542 Tremont St.
Boston, MA, United States 02120-2929"
"Massachusetts Advocates for Children, Inc.",42488456,http://www.massadvocates.org,"25 Kingston Street, 2nd Floor
Boston, MA, United States 2111"
Nurtury,42105893,http://www.nurturyboston.org,"95 Berkeley Street
Boston, MA, United States 02116"
The Trustees of Reservations,42105780,http://www.thetrustees.org,"200 High Street
Boston, MA, United States 02110"
Museum of African American History,N/A,http://www.maah.org,"46 JOY STREET
Boston, MA, United States 02114"
Massachusetts League of Community Health Centers,42507409,https://massleague.org,"40 Court Street
Boston, MA, United States 2108"
New England Farm Workers Council,60872959,http://www.partnersforcommunityg/...,"1628 Main St # 1640
Springfield, MA, United States 01103-1224"
"Groundwork Lawrence, Inc.",43546770,http://www.groundworklawrence.org,"50 Island Street, Suite 101
Lawrence, MA, United States 1840"
Campaign for Catholic Schools (Fund for Catholic Schools Inc),262290458,http://www.campaignforcatholicschool...,"66 Brooks Drive, 4th Floor
Braintree, MA, United States 2184"
Action for Boston Community Development,42304133,http://www.bostonabcd.org/,"178 Tremont Street
Boston, MA, United States 2111"
Martha's Vineyard Museum Inc,42160642,http://www.mvmuseum.org,"151 Lagoon Pond Road
Vineyard Haven, MA, United States 2568"
Full Frame Initiative Inc.,300592577,http://www.fullframeinitiative.org,"308 Main Street
Greenfield, MA, United States 1301"
Bell Foundation Inc.,43182053,https://www.bellxcel.org/,"1 University Ave.
Westwood, MA, United States 02090"
Rian Immigrant Center,43063382,https://www.riancenter.org/,"1 State St
Boston, MA, United States 2109"
"Massachusetts Institute of Technology, Kavli Institute for Astrophysics and Space Research",N/A,http://space.mit.edu,"77 Massachusetts Ave # 37-241
Cambridge, MA, United States 02139-4301"
Edward M Kennedy Community Healthcenter Inc,42513817,N/A,"650 Lincoln Street
Worcester, MA, United States 01606"
Inner-City Scholarship Fund,N/A,http://www.rcab.org/schools/csf.html,"C/O Catholic School Foundation 67 Batterymarch Street, 6 Th Floor
Boston, MA, United States 02110"
InnerCity Weightlifting,271333425,https://www.innercityweightlifting.org/,"P.O. Box 171313
Boston, MA, United States 02117-1543"
Nativity School of Worcester,30385377,http://nativityworcester.org,"67 Lincoln Street
Worcester, MA, United States 01605"
"Asian American Civic Association, Inc.",42476258,http://aaca-boston.org/,"87 Tyler Street
Boston, MA, United States 02111"
Chelsea Collaborative Inc,222906521,http://www.chelseacollab.org,"318 Broadway
Chelsea, MA, United States 02150"
Friends of Excel Academy Inc,300211613,http://www.excelacademy.org/,"2 Neptune Road #148
East Boston, MA, United States 02128"
Urban Edge,222483475,http://www.urbanedge.org,"1542 Columbus Avenue
Roxbury, MA, United States 2119"
Boston Childrens Chorus,N/A,http://www.bostonchildrenschorus.org,"20 OLD COLONY AVE.
South Boston, MA, United States 2127"
Alternatives for Community and Environment,43228509,http://www.ace-ej.org/,"2201 Washington St 302
Roxbury, MA, United States 02119"
CommonWealth Kitchen Inc.,270648497,http://www.cropcirclekitchen.org,"196 Quincy Street
Dorchester, MA, United States 2121"
Coronavirus Disease 2019 - Multiple Recipients,N/A,N/A,N/A
Urban League of Eastern Massachusetts,237349132,http://www.ulem.org,"88 Warren Street
Roxbury, MA, United States 02119"
"Breakthrough Greater Boston, Inc.",43307783,http://www.breakthroughgreaterboston.org,"PO BOX 381486
Cambridge, MA, United States 02238"
Lenny Zakim Fund,43485146,http://www.thelennyzakimfund.org,"c/o DLA Piper
Boston, MA, United States 2110"
"The B.E.L.L. Foundation, Inc.",43182053,http://www.bellnational.org,"Westwood, MA, United States 20290"
KIPP Academy,743153091,http://www.kipplynn.org,"25 Bessom St.
Lynn, MA, United States 01902-1204"
Nativity Boston,43063140,https://www.nativityboston.org/,"39 Lamartine Street
Jamaica Plain, MA, United States 02130-1947"
Inquilinos Boricuas en Accion,237102740,http://www.iba-etc.org/,"405 Shawmut Ave.
Boston, MA, United States 02118"
New England Historic Geneological Society,42104757,http://www.newenglandancestors.org,"99- 101 Newbury Steet
Boston, MA, United States 02116-3007"
Interise,263011769,http://www.interise.org,"197 PORTLAND STREET
Boston, MA, United States 02114"
Robert F. Kennedy Children's Action Corps,42457298,http://www.rfkchildren.org,"120 Old Common Road
Lancaster, MA, United States 1523"
Youth Enrichment Services (YES),42509466,http://www.yeskids.org,"412 Massachusetts
Boston, MA, United States 02118"
"Neighbor to Neighbor Massachusetts Education Fund, Inc.",43507716,http://www.n2nma.org,"15 Court Square Ste 345
Boston, MA, United States 02108"
Broad Institute,263428781,http://www.broadinstitute.org/,"415 Main St.
Cambridge, MA, United States 02142-1027"
Chinatown People Progressive Association Inc.,42631569,http://www.cpaboston.org,"28 Ash Street
Boston, MA, United States 2111"
Notre Dame Cristo Rey High School,20296284,http://www.ndcrhs.org,"203 Lawrence Street
Methuen, MA, United States 1844"
"The Right Question Institute, Inc.",43099027,http://www.rightquestion.org,"2464 Massachusetts Avenue
Cambridge, MA, United States 2140"
United South End Settlements,42104280,http://www.uses.org,"48 Rutland Street
Boston, MA, United States 02118"
City Life/Vida Urbana,42660311,http://www.clvu.org,"Po Box 300107
Jamaica Plain, MA, United States 02130"
Boston University,42103547,http://www.bu.edu,"881 Commonwealth Ave 4th Fl
Boston, MA, United States 02215-1303"
Neighborhood Of Affordable Housing (NOAH),42964630,http://www.noahcdc.org,"143 Border Street
East Boston, MA, United States 02128"
Boston Youth Symphony Orchestras,42790069,http://www.BYSOweb.org,"855 Commonwealth Avenue
Boston, MA, United States 2215"
Boston Youth Symphony Orchestras,42790069,http://www.BYSOweb.org,"855 Commonwealth Avenue
Boston, MA, United States 2215"
Excel Academy Orient Heights,N/A,http://www.excelacademy.org/,"1150 Saratoga St
East Boston, MA, United States 02128"
Edward Brooke Charter School,43554252,http://www.ebrooke.org/,"190 Cummins Highway
Roslindale, MA, United States 02131"
Movement Voter Project,N/A,https://gamechangernetworks.org/,"P.O. Box 749
Northampton, MA, United States 01061-0749"
Emmanuel Gospel Center,42282717,http://www.egc.org,"2 San Juan Street
Boston, MA, United States 02118"
"Living Cities, Inc., The National Community Development Initiative",260003950,http://www.livingcities.org,"1040 Avenue of the Americas
New York City, NY, United States 10018-3703"
Whittier Street Health Center,42619517,http://www.wshc.org,"1290 Tremont Street
Roxbury, MA, United States 02120"
Boston Foundation,42104021,http://www.tbf.org/blog,"75 Arlington Street, 3rd Floor
Boston, MA, United States 2116"
Cristo Rey Boston High School,562438544,http://www.cristoreyboston.org,"100 Savin Hill Avenue
Boston, MA, United States 02125"
"Youthbuild Boston, Inc.",43080098,http://www.youthbuildboston.org,"27 Centre Street
Roxbury, MA, United States 02119"
Dimock Community Foundation Inc,43487827,http://www.dimock.org,"55 Dimock Street
Roxbury, MA, United States 02119"
St Mary's Women and Children Center,43201844,http://stmaryscenterma.org,"90 Cushing Avenue
Dorchester, MA, United States 02121"
Clubhouse Network Inc,821178906,N/A,"2101 Washington St
Roxbury, MA, United States 2119"
Joint Center for Political and Economic Studies,521069070,https://jointcenter.org/,"633 Pennsylvania Ave., N.W.
Washington, DC, United States 20004-2605"
Black Ministerial Alliance,43499852,http://www.bmaboston.org,"2010 Columbus Avenue
Roxbury, MA, United States 02119"
Cambridge Community Foundation,46012492,http://cambridgecf.org/,"99 Bishop Richard Allen Dr
Cambridge, MA, United States 2139"
Ron Burton Training Village Camp,222570218,http://www.ronburtontrainingvillage.org,"P.O. Box 2
Hubbardston, MA, United States 01452"
The Center for Teen Empowerment,43091002,http://www.teenempowerment.org,"384 Warren Street
Boston, MA, United States 2119"
Alma Del Mar Foundation Inc,452914995,http://www.almadelmar.org,"515 Belleville Ave
New Bedford, MA, United States 2746"
Mother Caroline Academy &Education Center,43163180,http://mcaec.org,"515 Blue Hill Avenue
Dorchester, MA, United States 02121-3203"
Friends of the Children - Boston,201581289,https://friendsboston.org/,"184 Dudley St., Ste. 100
Roxbury, MA, United States 02119-2556"
Freedom House,N/A,http://www.freedomhouse.com,"5 Crawford Street
Dorchester, MA, United States 02121"
Massachusetts Community Action Network,42863903,N/A,"14 Cushing Ave
Dorchester, MA, United States 02125-2009"
Sportsmen's Tennis & Enrichment Center,237037183,https://sportsmenstennis.org/,"950 Blue Hill Ave.
Dorchester, MA, United States 02124-2953"
General Hospital Corporation,42697983,http://www.massgeneral.org/,"55 Fruit St.
Boston, MA, United States 02114-2621"
"Brookline Community Foundation, Inc.",42103944,http://www.brooklinecommunity.org,"40 Webster Pl.
Brookline, MA, United States 02445-7937"
Upham's Corner Community Center,42708670,http://www.birdstreet.org,"500 Columbia Road
Dorchester, MA, United States 02125"
"MA Coalition for Occupational Safety & Health, Inc.",42614458,http://www.masscosh.org/,"1532B Dorchester Avenue
Dorchester, MA, United States 2122"
The Trustees of Reservations,N/A,http://www.thetrustees.org,"572 Essex Street
Beverly, MA, United States 01915"
"United for a Fair Economy, Inc.",43286118,http://www.faireconomy.org/,"184 High St. #603
Boston, MA, United States 02110-3160"
Sayagyi U Ba Khin Memorial Trust of Massachusetts Inc,42777758,N/A,"386 Colrain Shelburne Rd
Shelburne, MA, United States 1370"
OneGoal,562369898,http://www.onegoalgraduation.org,"180 N Wabash Ave Ste 800
Chicago, IL, United States 60601-3608"
Cambridge Public Health Commission,43320571,http://www.cha.harvard.edu/,"1493 Cambridge St
Cambridge, MA, United States 2139"
Children's Hospital Corporation,42774441,http://www.childrenshospital.org/,"300 Longwood Ave
Boston, MA, United States 02115"
City Year,222882549,https://www.cityyear.org/,"287 Columbus Ave
Boston, MA, United States 2116"
Nuestra Comunidad Development Corporation,42741543,http://www.nuestracdc.org,"56 Warren Street Suite 200
Roxbury, MA, United States 02119"
"Lawyers' Committee for Civil Rights Under Law of the Boston Bar Association, Inc.",43490614,http://www.lawyerscom.org,"61 Batterymarch Street 5th Floor
Boston, MA, United States 02110"
National Action Council For Minorities In Engineering,521190664,http://www.nacme.org/,"1432 Duke Street
Alexandria, VA, United States 22314"
MetroLacrosse,43508315,N/A,"545 Medford St., Suite 2
Boston, MA, United States 02129-1419"
Boston Impact Initiative Fund,821543658,https://bostonimpact.org/,"P.O. Box 300443
Jamaica Plain, MA, United States 02130"
Interaction Institute for Social Change,942928341,http://interactioninstitute.org/,"89 South Street
Boston, MA, United States 2111"
Five Colleges Incorporated,46134696,http://www.fivecolleges.edu,"97 Spring Street
Amherst, MA, United States 1002"
Posse Foundation Boston,133840394,http://www.possefoundation.org,"45 Franklin Street, 3rd Floor
Boston, MA, United States 02110"
BOSTON TEN POINT COALITION INC,43315942,http://www.bostontenpoint.org,"2010 COLUMBUS AVE 1ST FLOOR
Boston, MA, United States 02119"
New England Conservatory Preparatory School,N/A,https://necmusic.edu/prep,"290 Huntington Ave.
Boston, MA, United States 02115-5018"
The City School,20532474,http://www.thecityschool.org,"614 Colombia Rd
Dorchester, MA, United States 02125"
Root Cause Institute,200703238,http://rootcause.org/,"11 Avenue de Lafayette
Boston, MA, United States 02111-1736"
The Schott Foundation for Public Education,43457065,http://www.schottfoundation.org,"1250 Hancock St
Quincy, MA, United States 2169"
South End Community Health Center Inc,42456134,http://www.sechc.org,"1601 Washington St
Boston, MA, United States 02118"
Future Chefs,N/A,http://www.futurechefs.net,"560 ALBANY ST
Boston, MA, United States 02118"
Young Peoples Project,640939004,http://www.typp.org,"99 BISHOP ALLEN DR BASEMENT FL
Cambridge, MA, United States 2139"
Fidelity Charitable Sift Fund,110303001,N/A,"Boston, MA, United States"
Project Step,222505816,http://www.projectstep.org,"301 Massachusetts Avenue
Boston, MA, United States 2115"
Four Corners Action Coalition Inc,43363133,http://gfcac.org/,"367 Washington Street
Dorchester, MA, United States 02124"
"Wide Horizons for Children, Inc.",42564960,http://www.whfc.org,"375 Totten Pond Road
Waltham, MA, United States 02451"
Massachusetts Association of Community Development Corporations,42759909,http://macdc.org,"15 Court Square Ste 600
Boston, MA, United States 02108"
Roxbury Latin School,42104857,http://www.roxburylatin.org,"101 St. Theresa Avenue
West Roxbury, MA, United States 02132"
