Recipient Name,Recipient EIN,Recipient Website,Recipient Address
Steps to Success,N/A,http://www.stepstosuccessbrookline.org,"19 Kennard Road
Brookline, MA, United States 02445"
KIPP Massachusetts,464881350,http://www.kippma.org,"90 High Rock St.
Lynn, MA, United States 01902"
Peabody Essex Museum,43157815,http://www.pem.org,"161 Essex Street
Salem, MA, United States 01970"
Resiliency Foundation Inc,264455804,http://www.resiliencyfoundation.org,"1690 Main St
Brockton, MA, United States 02301"
Greater Boston Interfaith Organization,43355553,http://www.gbio.org,"594 Columbia Rd., Ste. 402
Dorchester, MA, United States 02125-3436"
Boston Scores,43482756,http://www.AmericaSCORESBoston.org,"29 Germania Street
Jamaica Plain, MA, United States 2130"
Found in Translation,453302596,https://found-in-translation.org/,"1532B Dorchester Ave.
Dorchester, MA, United States 02122-3400"
JFYNetWorks,42607239,http://www.jfyboston.org,"44 School Street Suite 1010
Boston, MA, United States 02108"
La Vida,43396256,http://www.la-vida.org,"120 Munroe Street
Lynn, MA, United States 10901"
PROJECT CITIZENSHIP INC,371769643,http://www.projectcitizenship.org,"4 Faneuil S. Market Building
Boston, MA, United States 2109"
Boston Preparatory Charter Public School,113690799,http://www.bostonprep.org,"1286 Hyde Park Ave
Hyde Park, MA, United States 02136"
Trustees of Phillips Academy,42103579,http://www.andover.edu,"180 Main St.
Andover, MA, United States 01810-4161"
Brandeis University,42103552,http://www.brandeis.edu,"Po Box 9110
Waltham, MA, United States 02454-9110"
Congregacion Leon de Juda,43249194,http://www.bostonherc.org,"68 Northampton St
Boston, MA, United States 02118-1823"
Unitarian Universalist Urban Ministry (Benevolent Fraternity of Unitarian Church),N/A,http://uuum.org,"10 Putnam St.
Roxbury, MA, United States 2119"
Worcester Youth Center,43245867,http://www.worcesteryouthcenter.org,"326 Chandler Street
Worcester, MA, United States 01602"
"Quincy Asian Resources, Inc.",10556446,http://www.quincyasianresources.org,"1509 Hancock Street
Quincy, MA, United States 02169"
Black Economic Council of Massachusetts Inc,810687250,https://becma.org,"One Beacon Street
Boston, MA, United States 2108"
"MissionSAFE: A New Beginning, Inc.",43457195,http://www.missionsafe.org,"PO Box 201060
Roxbury, MA, United States 2119"
"Urban League of Springfield, Inc.",42133248,http://www.ulspringfield.org,"756 State St
Springfield, MA, United States 1109"
Smithsonian Astrophysical Observatory,530206027,http://www.cfa.harvard.edu/sao/sao.html,"60 Garden Street
Cambridge, MA, United States 2138"
Viet-Aid,43289039,http://www.vietaid.org,"42 Charles Street
Dorchester, MA, United States 02122"
Vera Institute of Justice,131941627,https://www.vera.org/blog,"34 35th Street, Suite 4-2A
Brooklyn, NY, United States 11232"
University of Massachusetts,104316735,http://www.umassmed.edu,"55 Lake Ave North
Worcester, MA, United States 1655"
Mujeres Unidas Avanzando,42753429,http://www.muaboston.org,"54 Clayton Street
Dorchester, MA, United States 02122"
Centro Presente Inc,42754284,http://www.cpresente.org,"12 Bennington St Suite 202
East Boston, MA, United States 02128"
National College Advising Corps,461192687,https://advisingcorps.org,"301 W. Barbee Chapel Rd., Ste. 210
Chapel Hill, NC, United States 27517"
Massachusetts Alliance of Portuguese Speakers (MAPS),42596270,https://maps-inc.org,"1046 Cambridge Street
Cambridge, MA, United States 2139"
Boston City Singers,331046833,http://www.bostoncitysingers.org,"17 WALDECK STREET
Dorchester, MA, United States 02124"
Chinese Consolidated Benevolent Association of New England,42735267,http://www.ccbaboston.org,"90 Tyler St
Boston, MA, United States 02111-1811"
Massachusetts General Hopsital,41564655,https://www.massgeneral.org/,"55 Fruit St.
Boston, MA, United States 02114-2621"
American Indian College Fund,521573446,http://www.collegefund.org/blog,"8333 Greenwood Blvd
Denver, CO, United States 80221"
Friends of Youth Options Unlimited Boston,208345272,http://www.youboston.org/,"7 Palmer Street Fl 2
Boston, MA, United States 02119"
African Community Economic Development of NE,510419358,http://www.acedone.info/,"89 South Street
Boston, MA, United States 02111"
Asian Task Force Against Domestic Violence (atask),43103354,http://www.atask.org,"RESTRICTED ADDRESS
Boston, MA, United States 2112"
Corporate Accountability,N/A,https://www.corporateaccountability.org/,"INFACT/ Corporate Accountability International 10 Milk Street Ste 610
Boston, MA, United States 02108"
Trustees of Reservations dba The Trustees,42100578,N/A,"200 High Street, 4th Floor
Boston, MA, United States 02110"
Southeast Asian Coalition of Central Massachusetts,43393955,http://www.seacma.org,"484 Main Street Suite 400
Worcester, MA, United States 01608"
Center for New Communities,202557192,http://c4newcommunities.org/,"6200 Rolling Rd 2942
Springfield, VA, United States 22152"
Friends of the Children - Boston,201581289,https://friendsboston.org/,"555 Amory Street
Jamaica Plain, MA, United States 02130"
Roxbury Prepartory Charter School Foundation Inc,223850778,http://www.roxburyprep.org,"120 Fisher Avenue
Roxbury, MA, United States 02120"
Boston Employment Service,43223871,http://www.bostonstrive.org,"651 Washington Street
Dorchester, MA, United States 02124"
Boston College,42103545,http://www.bc.edu,"Office of University Advancement
Chestnut Hill, MA, United States 02467"
Boston Employment Service,43223871,http://www.bostonstrive.org,"651 Washington Street
Dorchester, MA, United States 02124"
Emerson College,41286950,http://www.emerson.edu,"120 Boylston St.
Boston, MA, United States 02116-4624"
Boston College,42103545,http://www.bc.edu,"Office of University Advancement
Chestnut Hill, MA, United States 02467"
Literacy Center Inc.,223180555,http://www.TheLiteracyCenter.com,"80 North Main St.
Attleboro, MA, United States 02703"
City on A Hill Foundation Inc,43217458,http://www.cityonahill.org,"15 Allerton Street No 1
Roxbury, MA, United States 02119"
African Community Education Program,141970474,http://www.acechildren.org,"484 Main Street #355 Denholm Building
Worcester, MA, United States 01609"
Greater Boston Chinese Golden Age Center Inc,237181452,http://www.gbcgac.org,"75 Kneeland Street, Suite 204
Boston, MA, United States 2111"
Northeastern University,41679980,https://www.northeastern.edu/,"360 Huntington Avenue
Boston, MA, United States 02115"
"Boston Private Industry Council, Inc.",42676661,http://www.bostonpic.org,"2 Oliver Street
Boston, MA, United States 02109"
Beth Israel Deaconess Medical Center,42103881,http://www.bidmc.harvard.edu,"330 Brookline Ave.
Boston, MA, United States 02215-5491"
Americans for Peace and Tolerance,263251530,http://www.peaceandtolerance.org,"15 Main Street Ste 118
Watertown, MA, United States 02472"
National Domestic Workers Alliance,352420942,http://www.domesticworkers.org/,"45 Broadway, Ste. 320
New York City, NY, United States 10006-4019"
Bethal Institute For Social Justice,271375096,http://www.bethel-institute.org,"40 Walk Hill Street
Jamaica Plain, MA, United States 02130"
Youth and Family Enrichment Services,50588064,http://yofes.org,"1234 Hyde Park Avenue
Hyde Park, MA, United States 02136"
Music and Youth Initiative Inc,202767066,http://www.musicandyouth.org,"398 Columbus Ave Ste 307
Boston, MA, United States 02116"
"Terracorps, Inc",823881519,http://terracorps.org,"116 John St, Suite 405
Lowell, MA, United States 1852"
Us Latinx Art Forum,820698346,https://www.uslaf.org/,"134 Brooks Street
Medford, MA, United States 02155"
Phoenix Charter Academy,202401305,http://www.phoenixcharteracademy.org/,"175 Hawthorne St.
Chelsea, MA, United States 02150"
University of Massachusetts,43167352,https://www.umass.edu/,"300 Massachusetts Ave.
Amherst, MA, United States 01003-9290"
Institute for Nonprofit Practice,471613050,https://www.nonprofitpractice.org/,"89 South Street Suite Ll02
Boston, MA, United States 02111"
"The Immigrant Learning Center, Inc.",43138284,http://www.ilctr.org,"442 Main Street
Malden, MA, United States 2148"
Project R I G H T,43265420,http://www.projectright.org,"320 A Blue Hill Avenue
Roxbury, MA, United States 2121"
Lets Get Ready,311698832,http://www.letsgetready.org,"89 SOUTH STREET
Boston, MA, United States 02111"
Cambridge Health Alliance Foundation,10676306,https://gcptest.challiance.org/donate,"COMMERCE PLACE 350 MAIN ST Suite S
Malden, MA, United States 02148"
Roxbury Preparatory Charter School,223850778,http://www.roxburyprep.org,"86 Wachusett Street
Boston, MA, United States 02130"
Armenian Cultural Foundation,46196015,N/A,"441 Mystic St
Arlington, MA, United States 02474"
Cambodian Mutual Assist. Assoc. of Greater Lowell,222553560,http://www.cmaalowell.org,"465 School Street
Lowell, MA, United States 01851"
Facing History and Ourselves Inc.,42761636,http://www.facinghistory.org,"16 Hurd Road
Brookline, MA, United States 2445"
NorthStar Learning Centers,510200575,https://northstarlc.org/,"53 Linden St.
New Bedford, MA, United States 02740"
Asian Community Development Corporation,42988263,http://www.asiancdc.org,"38 Oak Street
Boston, MA, United States 02111"
Salem State University Foundation,N/A,http://salemstate.edu/,"352 Lafayette St.
Salem, MA, United States 01970"
Boston Higher Education Resource Center,N/A,http://www.bostonherc.org,"68 NORTHAMPTON STREET
Boston, MA, United States 02118"
One Square World,471694472,http://www.onesquareworld.org,"71 Peter Parley Rd Ste 2
Jamaica Plain, MA, United States 2130"
Union of Minority Neighborhoods,200011504,http://unionofminorityneighborhoods.org,"42 Seasverns Ave
Jamaica Plain, MA, United States 02130"
MathPOWER,223376427,https://web.northeastern.edu/mathpower/,"360 Huntington Ave.
Boston, MA, United States 02115-5005"
Education Trust,521982223,https://edtrust.org/,"1501 K St. NW, Ste. 200
Washington, DC, United States 20005"
CYCLE Kids Inc.,201169399,http://cyclekids.org,"5 John F Kennedy St 205
Cambridge, MA, United States 02138"
La Colaborativa,222906521,https://www.la-colaborativa.org/,"PO BOX 505114
Chelsea, United States 02150"
"Trustees of Tufts College, Inc.",42103634,https://www.tufts.edu/,"419 Boston Avenue
Medford, MA, United States 02155"
Community Foundation of Southeastern Massachusetts,43280353,http://www.cfsema.org/,"128 Union St., Ste. 403
New Bedford, MA, United States 02740"
"Boston Modern Orchestra Project, Inc.",43238554,http://www.bmop.org,"376 Washington Street
Malden, MA, United States 2148"
"YarnLabs, Inc.",830638683,N/A,"245 Main Street
Cambridge, MA, United States 02142"
AgitArte,43420465,http://www.agitarte.info,"678 Massachusetts Avenue Suite 504
Cambridge, MA, United States 02139"
